symbol,total_volume,latest_price,avg_price,trades_count,expiration,expiration_date,option_type,strike
UD:2V: GN 2556226,1,-270.0,-270.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQZ5 C21500,1,2342.25,2342.25,1,2025-12-19 14:30:00+00:00,2025-12-19,call,21500.0
NQH6 P16500,3,202.5,202.5,1,2026-03-20 13:30:00+00:00,2026-03-20,put,16500.0
NQZ5 P19000,9,258.25,263.0,6,2025-12-19 14:30:00+00:00,2025-12-19,put,19000.0
NQZ5 P16000,1,101.5,101.5,1,2025-12-19 14:30:00+00:00,2025-12-19,put,16000.0
NQZ5 P15000,4,70.75,72.75,2,2025-12-19 14:30:00+00:00,2025-12-19,put,15000.0
UD:2V: GN 2535905,1,-129.75,-129.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQH6 P18000,6,306.0,310.5,2,2026-03-20 13:30:00+00:00,2026-03-20,put,18000.0
NQM6 P11000,2,70.5,69.5,2,2026-06-18 13:30:00+00:00,2026-06-18,put,11000.0
NQU5 C23400,28,509.5,497.9,5,2025-09-19 13:30:00+00:00,2025-09-19,call,23400.0
NQU5 C23300,36,561.75,550.8958333333334,12,2025-09-19 13:30:00+00:00,2025-09-19,call,23300.0
UD:2V: GN 2566902,14,-9.75,-9.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P22800,11,589.0,619.8333333333334,3,2025-09-19 13:30:00+00:00,2025-09-19,put,22800.0
NQU5 P21600,11,298.5,302.75,2,2025-09-19 13:30:00+00:00,2025-09-19,put,21600.0
NQU5 P20900,5,208.75,208.75,1,2025-09-19 13:30:00+00:00,2025-09-19,put,20900.0
NQZ5 P12500,1,33.5,33.5,1,2025-12-19 14:30:00+00:00,2025-12-19,put,12500.0
UD:2V: VT 2568780,1,83.0,83.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 C23600,18,418.5,401.0833333333333,3,2025-09-19 13:30:00+00:00,2025-09-19,call,23600.0
NQU5 C23800,5,323.75,323.75,1,2025-09-19 13:30:00+00:00,2025-09-19,call,23800.0
UD:2V: VT 2569165,1,51.75,51.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P21900,8,343.5,360.4166666666667,3,2025-09-19 13:30:00+00:00,2025-09-19,put,21900.0
UD:2V: VT 2567468,10,740.0,740.0,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
UD:2V: VT 2570292,5,402.5,402.5,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQU5 P21700,5,341.25,341.25,1,2025-09-19 13:30:00+00:00,2025-09-19,put,21700.0
UD:2V: VT 2572147,1,11.75,11.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
NQZ5 P12000,1,33.0,33.0,1,2025-12-19 14:30:00+00:00,2025-12-19,put,12000.0
NQU5 C24300,5,163.75,163.75,1,2025-09-19 13:30:00+00:00,2025-09-19,call,24300.0
UD:2V: VT 2572236,4,330.75,330.75,1,2025-07-18 21:59:00+00:00,2025-07-18,unknown,
