,total_volume,total_volume,total_volume,symbol
,count,sum,max,<lambda>
expiration_date,,,,
2025-07-15,1,20,20,UD:2V: GN 2534749
2025-07-18,81,823,144,UD:2V: VT 2524230
2025-09-19,70,4016,756,NQU5 C25000
2025-12-19,37,919,197,NQZ5 C26500
2026-03-20,18,111,24,NQH6 P20000
2026-06-18,5,6,2,NQM6 P11000
